epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7746,1.64338,12.4346,0.00218,0.98149,0.06881,0.10068,0.07926,1.19487,3.75072,0.00216,0.000219245,0.000219245,0.000219245
2,35.1013,1.51049,5.40356,0.00188,0.62989,0.33724,0.39989,0.27176,1.36082,1.68137,0.00251,0.000437207,0.000437207,0.000437207
3,50.8609,1.49699,3.16825,0.00183,0.73402,0.52387,0.54205,0.36407,1.28295,1.15712,0.00228,0.000650767,0.000650767,0.000650767
4,66.5638,1.48627,2.39724,0.00192,0.81999,0.53744,0.61564,0.408,1.28605,1.01591,0.00228,0.00064719,0.00064719,0.00064719
5,82.3546,1.43116,1.97476,0.00176,0.80338,0.58094,0.64046,0.43877,1.26544,0.92938,0.00219,0.000640587,0.000640587,0.000640587
6,98.0561,1.46553,1.73658,0.00177,0.86122,0.59065,0.66616,0.47007,1.14569,0.88243,0.00202,0.000633983,0.000633983,0.000633983
7,113.997,1.4205,1.5747,0.00173,0.79458,0.62111,0.69654,0.45602,1.25092,0.86414,0.00218,0.00062738,0.00062738,0.00062738
8,130.879,1.38673,1.49274,0.00171,0.79708,0.64464,0.77252,0.50685,1.26237,0.91994,0.00227,0.000620777,0.000620777,0.000620777
9,147.405,1.38815,1.36589,0.00168,0.70202,0.67239,0.74046,0.45828,1.33558,0.92214,0.00236,0.000614174,0.000614174,0.000614174
10,163.471,1.37477,1.31004,0.00167,0.85603,0.6465,0.7372,0.48809,1.23789,0.80722,0.00226,0.00060757,0.00060757,0.00060757
11,179.567,1.37919,1.24563,0.00168,0.74381,0.71069,0.76271,0.51544,1.24041,0.81125,0.00211,0.000600967,0.000600967,0.000600967
12,195.895,1.37657,1.23438,0.0016,0.81278,0.71602,0.79907,0.56252,1.12057,0.73963,0.00199,0.000594364,0.000594364,0.000594364
13,212.008,1.36259,1.20924,0.00163,0.84119,0.7067,0.77555,0.53949,1.20767,0.73315,0.00211,0.00058776,0.00058776,0.00058776
14,228.384,1.30878,1.08349,0.00155,0.83277,0.76309,0.82164,0.55489,1.15829,0.75842,0.00209,0.000581157,0.000581157,0.000581157
15,244.527,1.33153,1.08857,0.00158,0.83289,0.78198,0.80422,0.53656,1.2148,0.81049,0.00214,0.000574554,0.000574554,0.000574554
16,261.079,1.31858,1.0825,0.00158,0.87579,0.75255,0.82824,0.54131,1.26972,0.73958,0.00222,0.00056795,0.00056795,0.00056795
17,277.394,1.32657,1.04646,0.00156,0.91784,0.7826,0.85371,0.58882,1.15385,0.71665,0.00206,0.000561347,0.000561347,0.000561347
18,293.897,1.30082,0.9901,0.00152,0.92689,0.75851,0.83178,0.50076,1.30542,0.84484,0.00237,0.000554744,0.000554744,0.000554744
19,310.649,1.32344,1.00845,0.00155,0.91819,0.76854,0.83095,0.52999,1.3561,0.73973,0.0025,0.000548141,0.000548141,0.000548141
20,327.372,1.29228,0.95501,0.00153,0.9156,0.78013,0.85341,0.56457,1.19821,0.67594,0.00214,0.000541537,0.000541537,0.000541537
21,343.823,1.2758,0.9181,0.00151,0.92798,0.7969,0.877,0.54301,1.29523,0.7115,0.00229,0.000534934,0.000534934,0.000534934
22,360.126,1.28516,0.88826,0.00149,0.85859,0.81821,0.86558,0.54236,1.33113,0.73325,0.00232,0.000528331,0.000528331,0.000528331
23,376.48,1.2781,0.89079,0.00145,0.89986,0.76025,0.84561,0.54302,1.32329,0.73187,0.00235,0.000521727,0.000521727,0.000521727
24,392.789,1.26346,0.87356,0.00146,0.83477,0.8095,0.83458,0.5331,1.26694,0.75114,0.00221,0.000515124,0.000515124,0.000515124
25,408.973,1.24391,0.82089,0.00142,0.82761,0.80128,0.83651,0.54341,1.25241,0.70532,0.00217,0.000508521,0.000508521,0.000508521
26,424.819,1.2402,0.81372,0.00139,0.86212,0.79955,0.84741,0.52038,1.32876,0.73629,0.00227,0.000501917,0.000501917,0.000501917
27,440.828,1.23968,0.81446,0.00147,0.91893,0.79924,0.86572,0.56152,1.24814,0.73402,0.00207,0.000495314,0.000495314,0.000495314
28,456.798,1.25647,0.86339,0.00147,0.79137,0.83006,0.87707,0.56421,1.26723,0.66354,0.00227,0.000488711,0.000488711,0.000488711
29,472.638,1.23698,0.83421,0.0014,0.86481,0.79881,0.86644,0.53698,1.35645,0.67623,0.00239,0.000482108,0.000482108,0.000482108
30,488.518,1.23268,0.83333,0.0014,0.83746,0.80267,0.84453,0.57022,1.19348,0.69347,0.00214,0.000475504,0.000475504,0.000475504
31,504.968,1.2162,0.77726,0.00139,0.88294,0.77334,0.85767,0.53264,1.36671,0.73765,0.00239,0.000468901,0.000468901,0.000468901
32,521.558,1.20318,0.7745,0.00138,0.91099,0.73018,0.84493,0.55743,1.22975,0.7087,0.00217,0.000462298,0.000462298,0.000462298
33,537.948,1.18285,0.74907,0.00134,0.92267,0.73944,0.847,0.57262,1.20479,0.72072,0.00213,0.000455694,0.000455694,0.000455694
34,554.327,1.19339,0.75238,0.00142,0.8331,0.79157,0.86443,0.53843,1.40718,0.68827,0.00256,0.000449091,0.000449091,0.000449091
35,570.548,1.19006,0.71914,0.00134,0.86174,0.79089,0.87406,0.59647,1.11205,0.6274,0.00188,0.000442488,0.000442488,0.000442488
36,587.052,1.20419,0.74163,0.00139,0.94416,0.80615,0.8855,0.53617,1.33087,0.64868,0.00227,0.000435884,0.000435884,0.000435884
37,603.47,1.20474,0.71926,0.00134,0.87464,0.80173,0.8792,0.58009,1.16286,0.59804,0.00197,0.000429281,0.000429281,0.000429281
38,619.743,1.16707,0.71798,0.00135,0.80195,0.79862,0.84791,0.5174,1.28785,0.6987,0.00224,0.000422678,0.000422678,0.000422678
39,636.218,1.18198,0.7173,0.00136,0.96696,0.75495,0.87346,0.58395,1.11331,0.65097,0.0019,0.000416075,0.000416075,0.000416075
40,652.439,1.17005,0.68676,0.00131,0.88716,0.77172,0.86527,0.51783,1.32838,0.74843,0.00235,0.000409471,0.000409471,0.000409471
41,668.709,1.1744,0.72515,0.00135,0.89639,0.81807,0.8976,0.61949,1.10405,0.59214,0.00187,0.000402868,0.000402868,0.000402868
42,685.226,1.16926,0.69799,0.00135,0.81561,0.82209,0.86878,0.53846,1.36189,0.67652,0.0024,0.000396265,0.000396265,0.000396265
43,701.543,1.14396,0.6846,0.00131,0.93416,0.78442,0.88206,0.5668,1.19009,0.6506,0.00201,0.000389661,0.000389661,0.000389661
44,717.913,1.13384,0.66592,0.0013,0.86562,0.84227,0.8938,0.58254,1.16597,0.60955,0.00205,0.000383058,0.000383058,0.000383058
45,734.36,1.13971,0.68364,0.00132,0.82611,0.79496,0.85991,0.54024,1.2264,0.65811,0.00208,0.000376455,0.000376455,0.000376455
46,749.973,1.12928,0.67527,0.0013,0.94336,0.77264,0.88458,0.55808,1.2245,0.66742,0.0022,0.000369851,0.000369851,0.000369851
47,765.697,1.16393,0.68437,0.00134,0.92871,0.7795,0.89049,0.53207,1.30057,0.68848,0.00231,0.000363248,0.000363248,0.000363248
